t,Fx,Fy,Fz
26985,42.5928,0.2105,-30.2808
27107,41.6470,0.0223,-28.6303
27229,40.4209,-0.4330,-37.8995
27352,38.7081,0.2764,-54.8547
27474,36.3377,-0.4350,-70.6261
27596,37.8442,-0.3103,-74.3246
27719,40.1185,0.1347,-61.8989
27841,41.4897,-0.5200,-43.6734
27964,42.4928,0.2536,-32.9521
28086,41.8928,-0.1749,-29.1361
28208,40.9078,-0.4279,-35.0590
28331,39.0785,0.3454,-51.1961
28453,36.5127,-0.2557,-68.7895
28575,36.7618,-0.2143,-76.5980
28698,38.5093,0.1529,-68.9771
28820,40.5348,-0.4192,-54.5946
28943,41.9359,0.2945,-40.7795
29065,42.0927,-0.1334,-30.1186
29187,41.1659,-0.4060,-33.4340
29310,39.1443,0.3049,-47.1518
29432,37.0078,-0.2539,-66.2277
29554,35.4313,-0.1685,-81.7849
29677,37.5539,-0.0221,-78.1962
29799,40.4796,-0.5565,-61.8926
29922,41.7851,0.3039,-43.2862
30044,42.8668,-0.3252,-31.1565
30166,42.0825,-0.2224,-29.2221
30289,41.1069,-0.0788,-36.2917
30411,39.1338,-0.5279,-54.9202
30533,36.2120,-0.0108,-73.5100
30656,37.0646,-0.2831,-79.1440
30778,38.2506,-0.1574,-72.2765
30901,42.0550,0.0742,-48.7146
31023,43.6160,-0.3693,-30.0336
31145,42.4707,0.0415,-23.9159
31268,42.3729,-0.4170,-29.4123
31390,38.8670,-0.0384,-50.3599
31512,36.5058,0.0004,-69.9393
31635,36.9694,-0.2878,-78.9308
31757,36.5719,0.1256,-76.9369
31880,41.2402,-0.5193,-56.1063
32002,42.2134,0.1030,-37.8357
32124,41.9527,0.0393,-26.8684
32247,42.6416,-0.3942,-26.6942
32369,39.7148,0.2675,-41.9247
32492,38.7031,-0.4985,-57.0958
32614,36.6270,0.1379,-73.8253
32736,37.3327,0.1388,-74.7577
32859,41.0497,-0.5005,-57.0950
32981,41.8551,0.1489,-40.8781
33103,42.6214,0.0684,-28.2828
33226,42.1753,-0.0947,-26.3233
33348,40.3802,0.2811,-37.5199
33471,39.4839,-0.6152,-52.2819
33593,36.1294,-0.0599,-71.8349
33715,36.8898,0.2012,-77.3483
33838,39.5008,-0.4154,-65.9635
33960,41.2135,0.3326,-49.2821
34082,42.4002,0.0113,-33.9516
34205,42.3981,0.0142,-30.4910
34327,40.5894,0.4000,-37.5351
34450,39.7801,-0.4636,-50.8612
34572,36.5517,0.2911,-70.4276
34694,36.1303,0.1296,-78.0030
34817,39.9996,-0.2239,-66.7351
34939,41.1321,0.4533,-49.3161
35061,41.6751,-0.2764,-35.5150
35184,42.5754,0.1823,-30.6675
35306,40.6513,0.1332,-33.3780
35429,40.5126,-0.3810,-46.1858
35551,37.8493,0.3949,-65.7212
35673,35.8433,-0.2408,-77.4702
35796,38.7018,0.0496,-73.7285
35918,39.7431,0.2626,-59.1470
36040,41.3972,-0.3439,-43.1820
36163,42.0454,0.3465,-35.7540
36285,40.2570,-0.3783,-36.5594
36408,40.3685,-0.1002,-45.4687
36530,37.2628,0.1161,-62.4899
36652,36.2820,-0.4308,-75.1745
